,ticker,value
953,SEAS,Consumer Discretionary
954,AMPE,Health Care
955,SDGR,Health Care
956,SHCR,Health Care
957,RFL,Real Estate
958,FHN,Financials
959,VERU,Consumer Staples
960,SEEL,Health Care
961,PERI,Communication Services
962,OEG,Industrials
963,WELL,Real Estate
964,GSKY,Information Technology
965,INFN,Information Technology
966,FLEX,Information Technology
967,S,Information Technology
968,CMI,Industrials
969,ALGN,Health Care
970,CERN,Health Care
971,DSX,Industrials
972,MCK,Health Care
973,ETWO,Information Technology
974,AVXL,Health Care
975,ROVR,Consumer Discretionary
976,TER,Information Technology
977,WHR,Consumer Discretionary
978,TEN,Consumer Discretionary
979,OSCR,Financials
980,BMBL,Communication Services
981,ED,Utilities
982,MTDR,Energy
983,FOXA,Communication Services
984,SGMS,Consumer Discretionary
985,DQ,Information Technology
986,GLBS,Industrials
987,LITE,Information Technology
988,ETRN,Energy
989,STAR,Real Estate
990,VISL,Information Technology
991,UAMY,Materials
992,FUN,Consumer Discretionary
993,NSC,Industrials
994,RKLY,Information Technology
995,TWOU,Consumer Discretionary
996,SNCR,Information Technology
997,PRPL,Consumer Discretionary
998,KOS,Energy
999,BLL,Materials
1000,ADS,Information Technology
1001,RRD,Industrials
1002,EL,Consumer Staples
1003,APLS,Health Care
1004,ARR,Financials
1005,AMPY,Energy
1006,CONE,Real Estate
1007,BLUE,Health Care
1008,EXPI,Real Estate
1009,WSM,Consumer Discretionary
1010,A,Health Care
1011,AQMS,Industrials
1012,GAN,Consumer Discretionary
1013,OTIS,Industrials
1014,VMEO,Communication Services
1015,YEXT,Information Technology
1016,SM,Energy
1017,KERN,Industrials
1018,OMF,Financials
1019,XM,Information Technology
1020,WPC,Real Estate
1021,SSSS,Financials
1022,FLXN,Health Care
1023,CELU,Health Care
1024,PFGC,Consumer Staples
1025,CMRE,Industrials
1026,COUR,Consumer Discretionary
1027,CLDX,Health Care
1028,TNK,Energy
1029,MCF,Energy
1030,ETN,Industrials
1031,TWNK,Consumer Staples
1032,AREC,Energy
1033,ENVX,Industrials
1034,HYRE,Industrials
1035,MAXN,Information Technology
1036,KVSB,
1037,RIGL,Health Care
1038,AYRO,Consumer Discretionary
1039,QGEN,Health Care
1040,ARWR,Health Care
1041,ACEV,
1042,NDAQ,Financials
1043,CHNG,Health Care
1044,CG,Financials
1045,APPN,Information Technology
1046,ALKS,Health Care
1047,FTI,Energy
1048,GD,Industrials
1049,VICI,Real Estate
1050,WRAP,Information Technology
1051,ITP,Materials
1052,ASPN,Energy
1053,ESI,Materials
1054,AIV,Real Estate
1055,DNUT,Consumer Discretionary
1056,DGX,Health Care
1057,CRBP,Health Care
1058,EAT,Consumer Discretionary
1059,PTGX,Health Care
1060,TNL,Consumer Discretionary
1061,EFX,Industrials
1062,APTV,Consumer Discretionary
1063,TTI,Energy
1064,IMMR,Information Technology
1065,NCTY,Communication Services
1066,CMRX,Health Care
1067,AKBA,Health Care
1068,MANU,Communication Services
1069,NCMI,Communication Services
1070,VLD,Industrials
1071,IBKR,Financials
1072,CARA,Health Care
1073,QTNT,Health Care
1074,SMFR,Health Care
1075,CRVS,Health Care
1076,HFC,Energy
1077,CBRE,Real Estate
1078,LH,Health Care
1079,CBAT,Industrials
1080,EB,Communication Services
1081,WGO,Consumer Discretionary
1082,ADNT,Consumer Discretionary
1083,VZIO,Consumer Discretionary
1084,ZGNX,Health Care
1085,VNO,Real Estate
1086,ZY,Materials
1087,WWR,Industrials
1088,CCK,Materials
1089,ACIW,Information Technology
1090,RVLV,Consumer Discretionary
1091,QDEL,Health Care
1092,PMT,Financials
1093,SAGE,Health Care
1094,AQB,Health Care
1095,RADA,Industrials
1096,DBI,Consumer Discretionary
1097,GDOT,Financials
1098,RL,Consumer Discretionary
1099,SUMO,Information Technology
1100,USFD,Consumer Staples
1101,BEST,Industrials
1102,CELH,Consumer Staples
1103,AJRD,Industrials
1104,CDNS,Information Technology
1105,RACE,Consumer Discretionary
1106,ELAN,Health Care
1107,MRIN,Information Technology
1108,VSTO,Consumer Discretionary
1109,VHC,Information Technology
1110,SUNL,Financials
1111,PK,Real Estate
1112,CRNT,Information Technology
1113,YELL,Industrials
1114,ATOM,Information Technology
1115,WEBR,Consumer Discretionary
1116,URBN,Consumer Discretionary
1117,EOSE,Industrials
1118,RVNC,Health Care
